Unnamed: 0,employment_status,industry,current_role,years_of_experience,genai_org_approval,genai_use,genai_tools_used,genai_frequency_use,genai_importance,skill_integration,skill_learning,simple_tasks_skills,complex_tasks_skills,skillfullness,skills_support,skill_sharing,better_worker,relatedness,tasks_description,emotional_energy,dependancy,reliance,decision_making_confidence,quality_improvement,peers_approval,manager_support,general_disapproval,age_group,gender,highest_level_of_education,country_of_residence,enhanced_emotion_codes,enhanced_emotion_codes_str,emotion_confidence,emotion_competence,emotion_pragmatic,emotion_curiosity,emotion_excitement,emotion_pride_empowerment,emotion_shame_guilt,emotion_anxiety,emotion_discomfort,emotion_fear,emotion_neutral,emotion_other_emotional_state,emotional_energy_codes_str
10,Yes,IT / Tech,Software Developer,1–3 years,GitHub Copilot,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), GitHub Copilot",A few times a week,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"Debugging, code review, code improvements",unprofessional,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18-25,Female,Bachelor’s degree,Germany,['Discomfort / Unease'],Discomfort / Unease,1,0,0,0,0,0,0,0,0,0,1,0,Confidence; Neutral
11,Yes,IT / Tech,BI,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",Rarely,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,"debugging code errors, code optimization",less comfortable.,1.0,2.0,2.0,4.0,4.0,4.0,4.0,26-35,Male,Bachelor’s degree,Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,1,0,0,0,Discomfort
12,Yes,IT / Tech,Software engineer ,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,"Writing code, Command Line prompts, Git commands and also brain storming ideas",neutral,3.0,4.0,4.0,5.0,3.0,3.0,4.0,26-35,Male,Bachelor’s degree,Germany,['Flat Neutrality'],Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
13,Yes,"IT / Tech, Education / Academia",Teaching Assistant ,1–3 years,Consensus,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic)",A few times a week,2.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,"I used Gen AI to build generative AI models, work on automation-related projects, and solve complex mathematical problems.",using gen ai has made my work more efficient. it is exciting to embrace new technologies that enhance productivity.,4.0,4.0,4.0,4.0,3.0,3.0,3.0,26-35,Male,Master’s degree,Germany,['Competence'],Competence,0,1,0,0,0,0,0,0,0,0,0,0,Competence
14,Yes,Education / Academia,,4–7 years,,Yes,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Daily,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,Refining letters coding and translations ,good,3.0,3.0,3.0,2.0,2.0,2.0,3.0,26-35,Male,Master’s degree,Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
15,Yes,Education / Academia,Content Author,4–7 years,"It wasn't explicitly told, but I've seen colleagues using ChatGPT openly.",Yes,ChatGPT (OpenAI),A few times a week,2.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,2.0,"Help me write emails or messages I wasn't sure were clear enough, and paraphrase content I had developed to become more succinct.","uncomfortable, since it makes me feel like i'm losing credit for my work.",4.0,5.0,4.0,2.0,3.0,3.0,4.0,26-35,Female,Master’s degree,Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,1,0,1,0,0,0,Shame & Guilt; Discomfort
16,Yes,Manufacturing of 3d Printed equipment,Devloper and Assistant (but no official title),Less than 1 year,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a month,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,1.0,Help with writing Google App Scripts. Help with writing Google sheet functions,"i feel indifferent to it's use for work and see it as another tool, and my employer doesn't mind it's use. i try my best to avoid it for academic tasks however.",1.0,1.0,2.0,2.0,5.0,5.0,1.0,18-25,Male,Bachelor’s degree,Germany,['Pragmatic Acceptance'],Pragmatic Acceptance,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
17,Yes,Education / Academia,Student Assistant,Less than 1 year,,Yes,ChatGPT (OpenAI),Daily,1.0,2.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,writing professional emails/ laying out an intial work structure to tackle a specific problem or task/ ,bad about myself/ i am trying to rely on it less but this is the reality of things,5.0,5.0,5.0,5.0,,,,18-25,Female,Master’s degree,Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,1,0,0,0,0,0,Shame & Guilt
18,Yes,IT / Tech,Software Engineer,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot, Consensus, All AI tools are allowed",Yes,"ChatGPT (OpenAI), GitHub Copilot, DeepSeek",A few times a week,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,"Writing emails, automatic code and developer comments completion, help with writing developer documentation","it feels neutral, although it sometimes makes me question my actual abilities",2.0,4.0,3.0,5.0,5.0,5.0,2.0,18-25,Male,Bachelor’s degree,Germany,['Flat Neutrality'],Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
19,Yes,"IT / Tech, Education / Academia",Student assistant,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,1. Correcting homework and some questions are open-ended. Sometimes the answers are very ambiguous so I would ask Chat GPT if it’s correct. 2. Programming and the package imports or dependencies are causing issues so I would solve it using Gen AI,i don’t mind because i know i do the majority of the work myself. i use gen ai like i would use google or youtube tutorials; as a supplementary support and not as the source of all my thinking.,1.0,4.0,3.0,5.0,4.0,4.0,5.0,18-25,Female,Bachelor’s degree,Germany,['Other Emotional State'],Other Emotional State,0,0,1,0,0,0,0,0,0,0,0,0,Pragmatic
20,Yes,IT / Tech,AI Engineer ,1–3 years,Google Gemini (Formerly Bard),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",Daily,4.0,4.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,"Solve hard bugs and write code, understand some concepts and brainstorm for ideas and recent tech used. ","i feel confident in accomplishing tasks and relieved that i can find solutions and support through ai tools. however, at the same time, i feel like i am not fully using my own thinking when it comes to calculations and complex problem analysis. this makes me feel like i am relying on ai more than on myself, and i worry that i am losing trust in my own ability to solve problems independently.",4.0,4.0,4.0,5.0,5.0,5.0,2.0,36-45,Female,Master’s degree,Germany,"['Confidence', 'Over-Reliance Anxiety']",Confidence; Over-Reliance Anxiety,1,0,0,0,0,0,0,1,0,0,1,0,Confidence; Anxiety; Neutral
21,Yes,Education / Academia,Lecturer ,8–15 years,It’s not formally approved yet,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a week,2.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,"Quizes and discussion tasks, besides somtimes simplifications of some terminologies ","i have to reflect the use if ai ethically that i am not depending on it alone, where i have to make sure about the resources because not all of thrm are mostly correct.",5.0,4.0,4.0,4.0,4.0,2.0,4.0,26-35,Female,Doctorate (PhD or equivalent),Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,0,1,Other Emotional State
22,Yes,Creative / Media,Freelance translator,4–7 years,Quillbot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a month,3.0,2.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,"- Full translation of simple scripts.
- Paraphrasing of content.
- Checking fluency of written content.",ok as long as i proofread and make sure that the ai generated content is up to par.,4.0,4.0,3.0,4.0,5.0,4.0,3.0,26-35,Female,Bachelor’s degree,Germany,['Other Emotional State'],Other Emotional State,0,0,1,0,0,0,0,0,0,0,0,0,Pragmatic
23,Yes,Healthcare,Doctor,4–7 years,,Yes,ChatGPT (OpenAI),A few times a month,3.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,2.0,"Organising my schedule, preparing my paperwork and presentations",i feel ok,2.0,3.0,2.0,3.0,2.0,2.0,2.0,26-35,Female,Master’s degree,Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
24,Yes,Education / Academia,PhD student,8–15 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,I use it basically as an alternative to Google search it made it more effective to find the right resource more easily,normal,5.0,5.0,4.0,3.0,3.0,3.0,3.0,26-35,Female,Master’s degree,Germany,['Flat Neutrality'],Flat Neutrality,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
25,Yes,Education / Academia,Research assistant ,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,2.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,"Email writing 
Scientific Research questions ",its okey,4.0,4.0,3.0,5.0,3.0,1.0,4.0,26-35,Male,Master’s degree,Germany,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
26,Yes,Education / Academia,Dr.,8–15 years,"Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot",Daily,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,.,.,4.0,4.0,4.0,5.0,5.0,2.0,5.0,36-45,Female,Doctorate (PhD or equivalent),Germany,[],,0,0,0,0,0,0,0,0,0,0,0,0,
27,Yes,IT / Tech,Data Scientist ,Less than 1 year,"Claude (Anthropic), GitHub Copilot",Yes,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",Daily,2.0,3.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,"Programming tasks, analysis",not good,5.0,4.0,4.0,4.0,4.0,2.0,3.0,26-35,Female,Bachelor’s degree,Germany,['Discomfort / Unease'],Discomfort / Unease,0,0,0,0,0,0,1,0,0,0,1,0,Shame & Guilt; Neutral
28,Yes,Government / Public sector,Executive ,Less than 1 year,"ChatGPT (OpenAI), Microsoft Copilot",Yes,ChatGPT (OpenAI),A few times a month,3.0,3.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,2.0,"Draft professional mail, preparing presentations ",i feel more productive as it becomes a time saving tool while doing work related tasks,3.0,2.0,3.0,5.0,5.0,4.0,5.0,18-25,Female,Bachelor’s degree,India,['Competence'],Competence,0,1,1,0,0,0,0,0,0,0,0,0,Competence; Pragmatic
29,Yes,Education / Academia,Teacher ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Rarely,,3.0,2.0,4.0,3.0,3.0,2.0,1.0,5.0,4.0,Don’t know ,good,2.0,4.0,4.0,4.0,4.0,4.0,4.0,18-25,Female,Bachelor’s degree,India,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
30,Yes,IT / Tech,Software developer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Daily,1.0,5.0,5.0,3.0,5.0,5.0,3.0,,4.0,4.0,"Coding 
Testing ",na,,,,,,,,18-25,Male,Bachelor’s degree,India,[],,0,0,0,0,0,0,0,0,0,0,0,0,
31,Yes,"IT / Tech, ",Sr. Quality engg,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Claude (Anthropic)",Daily,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,Making apps using AI for work,yes,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Female,Bachelor’s degree,India,[],,0,0,0,0,0,0,0,0,0,0,0,0,
32,Yes,IT / Tech,Software engineer ,Less than 1 year,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a month,2.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,Rearly use for the information that I need in my work about my work task,it's good gen ai really helpful in work related tasks,2.0,4.0,4.0,4.0,4.0,4.0,4.0,18-25,Female,Bachelor’s degree,India,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
33,Yes,IT / Tech,Senior exec,1–3 years,Nope,Yes,ChatGPT (OpenAI),A few times a week,3.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,Basic Google questions ,happy for the help,3.0,4.0,5.0,3.0,4.0,5.0,3.0,26-35,Male,Bachelor’s degree,India,['Other Emotional State'],Other Emotional State,0,0,0,0,1,0,0,0,0,0,0,0,Excitement
34,Yes,Education / Academia,Assistant Professor,8–15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,1.0,3.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,"Creating case Studies, higher order thinking based assignments and creating presentations ",technologies are bound to make work easier and makes me more productive hence i feel completely relax to report the same,2.0,2.0,2.0,5.0,4.0,5.0,5.0,26-35,Female,Master’s degree,India,['Competence'],Competence,0,1,1,0,0,0,0,0,0,0,0,0,Competence; Pragmatic
35,Yes,IT / Tech,SRE/DEVOPS,1–3 years,Microsoft Copilot,Yes,Microsoft Copilot,A few times a week,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Coding, shell scripting, Email",cool,4.0,4.0,5.0,5.0,3.0,4.0,5.0,18-25,Male,Bachelor’s degree,India,[],,0,0,0,0,0,0,0,0,0,0,0,0,
36,Yes,Creative / Media,Jewellery Desinger,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a week,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,"1.Jewelry Design Ideas:
Used Gen AI to generate creative concepts, collection names, and mood boards for jewelry projects.
2.Market Research:
Used AI to gather insights on trends, brands, and competitors for better design alignment.","it feels empowering to use gen ai it helped me brianstrom faster, visualize design direction clearly, and explore more variations than i colud manually in the same time",3.0,3.0,2.0,3.0,3.0,3.0,3.0,18-25,Female,Bachelor’s degree,India,['Other Emotional State'],Other Emotional State,0,0,0,1,1,0,0,0,0,0,0,0,Curiosity; Excitement
37,Yes,IT / Tech,Software Developer ,Less than 1 year,No,Yes,ChatGPT (OpenAI),Rarely,4.0,3.0,3.0,3.0,,4.0,4.0,4.0,4.0,2.0,Get some clarification on business logic,nice,2.0,1.0,2.0,4.0,2.0,1.0,2.0,18-25,Male,Bachelor’s degree,India,[],,0,0,0,0,0,0,0,0,0,0,0,0,
38,Yes,Education / Academia,Assistant Professor ,24,"Not approved,but I often used GPT and Gemini ",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,4.0,4.0,4.0,1.0,5.0,3.0,4.0,2.0,3.0,3.0,"For learning excel formulas, for solving complicated numericals",knowledgeable and confident,3.0,3.0,3.0,3.0,3.0,3.0,3.0,46-55,Female,Master’s degree,India,['Confidence'],Confidence,1,0,0,0,0,0,0,0,0,0,0,0,Confidence
39,Yes,IT / Tech,Machine Learning Developer,1–3 years,"ChatGPT (OpenAI), Microsoft Copilot",Yes,Microsoft Copilot,Never,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,.,.,3.0,3.0,2.0,3.0,3.0,2.0,3.0,18-25,Female,Bachelor’s degree,India,[],,0,0,0,0,0,0,0,0,0,0,0,0,
40,Yes,IT / Tech,Salesforce Developer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Rarely,2.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,"In writing complex logic, For solving errors ",not great,4.0,3.0,3.0,4.0,4.0,3.0,4.0,18-25,Female,Bachelor’s degree,India,['Other Emotional State'],Other Emotional State,0,0,0,0,1,0,0,0,1,0,0,0,Excitement; Discomfort
41,Yes,IT / Tech,Software Engineer,1–3 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",A few times a week,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,"Code Review, Function or Code snippet optimization, Draft replies to client queries or emails.","i use it to improve me work quality and efficiency and do not blindly follow it, thus, i can confidently say that i use gen ai only to deliver better solutions.",3.0,2.0,3.0,4.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,India,"['Competence', 'Confidence']",Competence; Confidence,1,1,0,0,0,0,0,0,0,0,0,0,Confidence; Competence
42,Yes,Manufacturing industry ,Process engineer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",Daily,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,"AI is used in daily working life to prepare task manuals, confirm engineering data for simulation, and support with basic engineering package data like CAS numbers, molecular structure, and micro-level details.","using gen ai for work-related tasks makes me feel more confident and efficient. it supports me in handling complex data, reduces repetitive work, and helps ensure accuracy in simulations and documentation. it is  a valuable tool that enhances my productivity without replacing critical engineering judgment.",5.0,5.0,5.0,4.0,4.0,5.0,5.0,18-25,Female,Bachelor’s degree,India,"['Competence', 'Confidence']",Competence; Confidence,1,1,0,0,0,0,0,0,0,0,0,0,Confidence; Competence
43,Yes,IT / Tech,Associate Consultant,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,"Generating SQL queries, Process of setting up internal environment, To upskill",not very good,2.0,4.0,4.0,4.0,4.0,2.0,3.0,18-25,Female,Bachelor’s degree,India,['Discomfort / Unease'],Discomfort / Unease,0,0,0,0,0,0,0,0,1,0,1,0,Discomfort; Neutral
44,Yes,Creative / Media,Social media marketer,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot",Daily,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,"- To make creatives
- To do automation 
- To search


",it make me feel efficient and up-to-date.,3.0,3.0,5.0,4.0,4.0,4.0,5.0,26-35,Female,Bachelor’s degree,India,['Competence'],Competence,0,1,0,0,0,0,0,0,0,0,0,0,Competence
45,Yes,IT / Tech,Data Engineer ,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,"Microsoft Copilot, GitHub Copilot",A few times a week,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,"I’ve used Gen AI to:

Write and optimize SQL/Spark queries for data analysis and transformation.

Draft documentation and technical summaries for pipelines and data workflows.

Troubleshoot code and debug errors by exploring possible fixes and best practices.","i feel confident using gen ai for work—it boosts my productivity and helps me solve problems faster, as long as i validate the output.",3.0,4.0,5.0,5.0,5.0,5.0,5.0,18-25,Male,Bachelor’s degree,India,['Confidence'],Confidence,1,0,0,0,0,0,0,0,0,0,0,0,Confidence
46,Yes,"IT / Tech, Healthcare",Senior Software Engineer,1–3 years,,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",A few times a week,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"I used Gen AI to assist in:

Generating boilerplate code for React components, Redux stores, API service layers, and unit tests.
Refactoring large legacy JavaScript files into modular, readable, and optimized ES6+ code.
Ensuring code followed best practices like DRY (Don't Repeat Yourself) and SOLID principles.","it feels good to:

leverage cutting-edge tools to work smarter, not harder.
save time on repetitive or complex tasks, allowing more focus on creative problem-solving and high-impact work.
stay ahead in a fast-evolving tech landscape by embracing ai as a collaborative assistant, not a replacement.",4.0,3.0,4.0,4.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,India,['Empowerment'],Empowerment,0,0,0,0,0,0,0,0,0,0,1,0,Neutral
47,Yes,Education / Academia,Teacher ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1. Creating weekly planning schedule 
2. Creating extra complex or simple tests using the PDFs
3. Creating simple yet descriptive powerpoint presentations for teaching purpose ",it's more easy to create/ plan/ generate/ and many more things to do using ai.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26-35,Male,Master’s degree,India,['Other Emotional State'],Other Emotional State,0,0,0,0,0,0,0,0,0,0,0,1,Other Emotional State
