Unnamed: 0,employment_status,industry,current_role,years_of_experience,genai_org_approval,genai_use,genai_tools_used,genai_frequency_use,genai_importance,skill_integration,skill_learning,simple_tasks_skills,complex_tasks_skills,skillfullness,skills_support,skill_sharing,better_worker,relatedness,tasks_description,emotional_energy,dependancy,reliance,decision_making_confidence,quality_improvement,peers_approval,manager_support,general_disapproval,age_group,gender,highest_level_of_education,country_of_residence,emotional_energy_score,self_efficacy,relatedness_score,dependence_score,ai_score,emotional_energy_codes_str
9,Yes,Education / Academia,Team assistant ,1–3 years,,Yes,"ChatGPT (OpenAI), Deepseek, Google AI Studio",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"- Writing emails.
- Instructions to use tools.
- Replacement to Microsoft office ",All is good as long as it complies with Data protection.,5.0,5.0,5.0,5.0,,,,26-35,Female,Master’s degree,Germany,4.0,5.0,5.0,5.0,4.666666666666667,Pragmatic
9,Yes,Education / Academia,Team assistant ,1–3 years,,Yes,"ChatGPT (OpenAI), Deepseek, Google AI Studio",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"- Writing emails.
- Instructions to use tools.
- Replacement to Microsoft office ",All is good as long as it complies with Data protection.,5.0,5.0,5.0,5.0,,,,26-35,Female,Master’s degree,Germany,4.0,5.0,5.0,5.0,4.666666666666667,Neutral
10,Yes,IT / Tech,Software Developer,1–3 years,GitHub Copilot,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), GitHub Copilot",A few times a week,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"Debugging, code review, code improvements",Unprofessional,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18-25,Female,Bachelor’s degree,Germany,1.0,3.0,3.0,3.0,2.3333333333333335,Confidence
10,Yes,IT / Tech,Software Developer,1–3 years,GitHub Copilot,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), GitHub Copilot",A few times a week,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"Debugging, code review, code improvements",Unprofessional,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18-25,Female,Bachelor’s degree,Germany,1.0,3.0,3.0,3.0,2.3333333333333335,Neutral
11,Yes,IT / Tech,BI,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",Rarely,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,"debugging code errors, code optimization",less comfortable.,1.0,2.0,2.0,4.0,4.0,4.0,4.0,26-35,Male,Bachelor’s degree,Germany,2.0,3.4444444444444446,2.0,1.5,1.8333333333333333,Discomfort
12,Yes,IT / Tech,Software engineer ,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,"Writing code, Command Line prompts, Git commands and also brain storming ideas",Neutral,3.0,4.0,4.0,5.0,3.0,3.0,4.0,26-35,Male,Bachelor’s degree,Germany,3.0,3.111111111111111,3.0,3.5,3.1666666666666665,Neutral
13,Yes,"IT / Tech, Education / Academia",Teaching Assistant ,1–3 years,Consensus,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic)",A few times a week,2.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,"I used Gen AI to build generative AI models, work on automation-related projects, and solve complex mathematical problems.",Using Gen AI has made my work more efficient. It’s exciting to embrace new technologies that enhance productivity.,4.0,4.0,4.0,4.0,3.0,3.0,3.0,26-35,Male,Master’s degree,Germany,5.0,4.111111111111111,3.0,4.0,4.0,Competence
14,Yes,Education / Academia,,4–7 years,,Yes,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Daily,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,Refining letters coding and translations ,Good,3.0,3.0,3.0,2.0,2.0,2.0,3.0,26-35,Male,Master’s degree,Germany,4.0,2.5555555555555554,4.0,3.0,3.6666666666666665,Neutral
15,Yes,Education / Academia,Content Author,4–7 years,"It wasn't explicitly told, but I've seen colleagues using ChatGPT openly.",Yes,ChatGPT (OpenAI),A few times a week,2.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,2.0,"Help me write emails or messages I wasn't sure were clear enough, and paraphrase content I had developed to become more succinct.","Uncomfortable, since it makes me feel like I'm losing credit for my work.",4.0,5.0,4.0,2.0,3.0,3.0,4.0,26-35,Female,Master’s degree,Germany,2.0,3.888888888888889,2.0,4.5,2.8333333333333335,Shame & Guilt
15,Yes,Education / Academia,Content Author,4–7 years,"It wasn't explicitly told, but I've seen colleagues using ChatGPT openly.",Yes,ChatGPT (OpenAI),A few times a week,2.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,2.0,"Help me write emails or messages I wasn't sure were clear enough, and paraphrase content I had developed to become more succinct.","Uncomfortable, since it makes me feel like I'm losing credit for my work.",4.0,5.0,4.0,2.0,3.0,3.0,4.0,26-35,Female,Master’s degree,Germany,2.0,3.888888888888889,2.0,4.5,2.8333333333333335,Discomfort
16,Yes,Manufacturing of 3d Printed equipment,Devloper and Assistant (but no official title),Less than 1 year,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a month,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,1.0,Help with writing Google App Scripts. Help with writing Google sheet functions,"I feel indifferent to it's use for work and see it as another tool, and my employer doesn't mind it's use. I try my best to avoid it for academic tasks however.",1.0,1.0,2.0,2.0,5.0,5.0,1.0,18-25,Male,Bachelor’s degree,Germany,3.0,4.222222222222222,1.0,1.0,1.6666666666666667,Neutral
17,Yes,Education / Academia,Student Assistant,Less than 1 year,,Yes,ChatGPT (OpenAI),Daily,1.0,2.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,writing professional emails/ laying out an intial work structure to tackle a specific problem or task/ ,bad about myself/ i am trying to rely on it less but this is the reality of things ,5.0,5.0,5.0,5.0,,,,18-25,Female,Master’s degree,Germany,1.0,3.6666666666666665,5.0,5.0,3.6666666666666665,Shame & Guilt
18,Yes,IT / Tech,Software Engineer,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot, Consensus, All AI tools are allowed",Yes,"ChatGPT (OpenAI), GitHub Copilot, DeepSeek",A few times a week,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,"Writing emails, automatic code and developer comments completion, help with writing developer documentation","It feels neutral, although it sometimes makes me question my actual abilities",2.0,4.0,3.0,5.0,5.0,5.0,2.0,18-25,Male,Bachelor’s degree,Germany,3.0,4.666666666666667,1.0,3.0,2.3333333333333335,Neutral
19,Yes,"IT / Tech, Education / Academia",Student assistant,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,1. Correcting homework and some questions are open-ended. Sometimes the answers are very ambiguous so I would ask Chat GPT if it’s correct. 2. Programming and the package imports or dependencies are causing issues so I would solve it using Gen AI,I don’t mind because I know I do the majority of the work myself. I use Gen AI like I would use Google or YouTube tutorials; as a supplementary support and not as the source of all my thinking. ,1.0,4.0,3.0,5.0,4.0,4.0,5.0,18-25,Female,Bachelor’s degree,Germany,3.0,4.444444444444445,3.0,2.5,2.8333333333333335,Pragmatic
20,Yes,IT / Tech,AI Engineer ,1–3 years,Google Gemini (Formerly Bard),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",Daily,4.0,4.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,"Solve hard bugs and write code, understand some concepts and brainstorm for ideas and recent tech used. ","I feel confident in accomplishing tasks and relieved that I can find solutions and support through AI tools. However, at the same time, I feel like I’m not fully using my own thinking when it comes to calculations and complex problem analysis. This makes me feel like I’m relying on AI more than on myself, and I worry that I’m losing trust in my own ability to solve problems independently.",4.0,4.0,4.0,5.0,5.0,5.0,2.0,36-45,Female,Master’s degree,Germany,3.0,3.888888888888889,5.0,4.0,4.0,Confidence
20,Yes,IT / Tech,AI Engineer ,1–3 years,Google Gemini (Formerly Bard),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",Daily,4.0,4.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,"Solve hard bugs and write code, understand some concepts and brainstorm for ideas and recent tech used. ","I feel confident in accomplishing tasks and relieved that I can find solutions and support through AI tools. However, at the same time, I feel like I’m not fully using my own thinking when it comes to calculations and complex problem analysis. This makes me feel like I’m relying on AI more than on myself, and I worry that I’m losing trust in my own ability to solve problems independently.",4.0,4.0,4.0,5.0,5.0,5.0,2.0,36-45,Female,Master’s degree,Germany,3.0,3.888888888888889,5.0,4.0,4.0,Anxiety
20,Yes,IT / Tech,AI Engineer ,1–3 years,Google Gemini (Formerly Bard),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",Daily,4.0,4.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,"Solve hard bugs and write code, understand some concepts and brainstorm for ideas and recent tech used. ","I feel confident in accomplishing tasks and relieved that I can find solutions and support through AI tools. However, at the same time, I feel like I’m not fully using my own thinking when it comes to calculations and complex problem analysis. This makes me feel like I’m relying on AI more than on myself, and I worry that I’m losing trust in my own ability to solve problems independently.",4.0,4.0,4.0,5.0,5.0,5.0,2.0,36-45,Female,Master’s degree,Germany,3.0,3.888888888888889,5.0,4.0,4.0,Neutral
21,Yes,Education / Academia,Lecturer ,8–15 years,It’s not formally approved yet,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a week,2.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,"Quizes and discussion tasks, besides somtimes simplifications of some terminologies ","I have to reflect the use if AI ethically that i am not depending on it alone, where i have to make sure about the resources because not all of thrm are mostly correct.",5.0,4.0,4.0,4.0,4.0,2.0,4.0,26-35,Female,Doctorate (PhD or equivalent),Germany,3.0,3.3333333333333335,4.0,4.5,3.8333333333333335,Other Emotional State
22,Yes,Creative / Media,Freelance translator,4–7 years,Quillbot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a month,3.0,2.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,"- Full translation of simple scripts.
- Paraphrasing of content.
- Checking fluency of written content.",Ok as long as I proofread and make sure that the AI generated content is up to par.,4.0,4.0,3.0,4.0,5.0,4.0,3.0,26-35,Female,Bachelor’s degree,Germany,3.0,3.7777777777777777,1.0,4.0,2.6666666666666665,Pragmatic
23,Yes,Healthcare,Doctor,4–7 years,,Yes,ChatGPT (OpenAI),A few times a month,3.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,2.0,"Organising my schedule, preparing my paperwork and presentations",I feel ok,2.0,3.0,2.0,3.0,2.0,2.0,2.0,26-35,Female,Master’s degree,Germany,3.0,3.0,2.0,2.5,2.5,Neutral
24,Yes,Education / Academia,PhD student,8–15 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,I use it basically as an alternative to Google search it made it more effective to find the right resource more easily,Normal,5.0,5.0,4.0,3.0,3.0,3.0,3.0,26-35,Female,Master’s degree,Germany,3.0,2.7777777777777777,3.0,5.0,3.6666666666666665,Neutral
25,Yes,Education / Academia,Research assistant ,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,2.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,"Email writing 
Scientific Research questions ",Its okey ,4.0,4.0,3.0,5.0,3.0,1.0,4.0,26-35,Male,Master’s degree,Germany,3.0,3.5555555555555554,4.0,4.0,3.6666666666666665,Neutral
27,Yes,IT / Tech,Data Scientist ,Less than 1 year,"Claude (Anthropic), GitHub Copilot",Yes,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",Daily,2.0,3.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,"Programming tasks, analysis",Not good,5.0,4.0,4.0,4.0,4.0,2.0,3.0,26-35,Female,Bachelor’s degree,Germany,2.0,3.6666666666666665,4.0,4.5,3.5,Shame & Guilt
27,Yes,IT / Tech,Data Scientist ,Less than 1 year,"Claude (Anthropic), GitHub Copilot",Yes,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",Daily,2.0,3.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,"Programming tasks, analysis",Not good,5.0,4.0,4.0,4.0,4.0,2.0,3.0,26-35,Female,Bachelor’s degree,Germany,2.0,3.6666666666666665,4.0,4.5,3.5,Neutral
28,Yes,Government / Public sector,Executive ,Less than 1 year,"ChatGPT (OpenAI), Microsoft Copilot",Yes,ChatGPT (OpenAI),A few times a month,3.0,3.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,2.0,"Draft professional mail, preparing presentations ",I feel more productive as it becomes a time saving tool while doing work related tasks,3.0,2.0,3.0,5.0,5.0,4.0,5.0,18-25,Female,Bachelor’s degree,India,4.0,3.7777777777777777,2.0,2.5,2.8333333333333335,Competence
28,Yes,Government / Public sector,Executive ,Less than 1 year,"ChatGPT (OpenAI), Microsoft Copilot",Yes,ChatGPT (OpenAI),A few times a month,3.0,3.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,2.0,"Draft professional mail, preparing presentations ",I feel more productive as it becomes a time saving tool while doing work related tasks,3.0,2.0,3.0,5.0,5.0,4.0,5.0,18-25,Female,Bachelor’s degree,India,4.0,3.7777777777777777,2.0,2.5,2.8333333333333335,Pragmatic
29,Yes,Education / Academia,Teacher ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Rarely,,3.0,2.0,4.0,3.0,3.0,2.0,1.0,5.0,4.0,Don’t know ,Good ,2.0,4.0,4.0,4.0,4.0,4.0,4.0,18-25,Female,Bachelor’s degree,India,4.0,2.875,4.0,3.0,3.6666666666666665,Neutral
32,Yes,IT / Tech,Software engineer ,Less than 1 year,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a month,2.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,Rearly use for the information that I need in my work about my work task,It's good gen ai really helpful in work related tasks,2.0,4.0,4.0,4.0,4.0,4.0,4.0,18-25,Female,Bachelor’s degree,India,5.0,2.2222222222222223,4.0,3.0,4.0,Neutral
33,Yes,IT / Tech,Senior exec,1–3 years,Nope,Yes,ChatGPT (OpenAI),A few times a week,3.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,Basic Google questions ,Happy for the help ,3.0,4.0,5.0,3.0,4.0,5.0,3.0,26-35,Male,Bachelor’s degree,India,4.0,3.888888888888889,5.0,3.5,4.166666666666667,Excitement
34,Yes,Education / Academia,Assistant Professor,8–15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,1.0,3.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,"Creating case Studies, higher order thinking based assignments and creating presentations ",Technologies are bound to make work easier and makes me more productive hence I feel completely relax to report the same,2.0,2.0,2.0,5.0,4.0,5.0,5.0,26-35,Female,Master’s degree,India,5.0,3.4444444444444446,4.0,2.0,3.6666666666666665,Competence
34,Yes,Education / Academia,Assistant Professor,8–15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,1.0,3.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,"Creating case Studies, higher order thinking based assignments and creating presentations ",Technologies are bound to make work easier and makes me more productive hence I feel completely relax to report the same,2.0,2.0,2.0,5.0,4.0,5.0,5.0,26-35,Female,Master’s degree,India,5.0,3.4444444444444446,4.0,2.0,3.6666666666666665,Pragmatic
36,Yes,Creative / Media,Jewellery Desinger,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a week,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,"1.Jewelry Design Ideas:
Used Gen AI to generate creative concepts, collection names, and mood boards for jewelry projects.
2.Market Research:
Used AI to gather insights on trends, brands, and competitors for better design alignment.","It feels empowering to use Gen AI it helped me brianstrom faster, visualize design direction clearly, and explore more variations than i colud manually in the same time ",3.0,3.0,2.0,3.0,3.0,3.0,3.0,18-25,Female,Bachelor’s degree,India,5.0,3.0,3.0,3.0,3.6666666666666665,Curiosity
36,Yes,Creative / Media,Jewellery Desinger,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a week,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,"1.Jewelry Design Ideas:
Used Gen AI to generate creative concepts, collection names, and mood boards for jewelry projects.
2.Market Research:
Used AI to gather insights on trends, brands, and competitors for better design alignment.","It feels empowering to use Gen AI it helped me brianstrom faster, visualize design direction clearly, and explore more variations than i colud manually in the same time ",3.0,3.0,2.0,3.0,3.0,3.0,3.0,18-25,Female,Bachelor’s degree,India,5.0,3.0,3.0,3.0,3.6666666666666665,Excitement
38,Yes,Education / Academia,Assistant Professor ,24,"Not approved,but I often used GPT and Gemini ",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,4.0,4.0,4.0,1.0,5.0,3.0,4.0,2.0,3.0,3.0,"For learning excel formulas, for solving complicated numericals",Knowledgeable and confident,3.0,3.0,3.0,3.0,3.0,3.0,3.0,46-55,Female,Master’s degree,India,5.0,3.3333333333333335,3.0,3.0,3.6666666666666665,Confidence
40,Yes,IT / Tech,Salesforce Developer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Rarely,2.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,"In writing complex logic, For solving errors ",Not great ,4.0,3.0,3.0,4.0,4.0,3.0,4.0,18-25,Female,Bachelor’s degree,India,2.0,3.2222222222222223,5.0,3.5,3.5,Excitement
40,Yes,IT / Tech,Salesforce Developer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Rarely,2.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,"In writing complex logic, For solving errors ",Not great ,4.0,3.0,3.0,4.0,4.0,3.0,4.0,18-25,Female,Bachelor’s degree,India,2.0,3.2222222222222223,5.0,3.5,3.5,Discomfort
41,Yes,IT / Tech,Software Engineer,1–3 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",A few times a week,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,"Code Review, Function or Code snippet optimization, Draft replies to client queries or emails.","I use it to improve me work quality and efficiency and do not blindly follow it, thus, I can confidently say that I use Gen AI only to deliver better solutions.",3.0,2.0,3.0,4.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,India,5.0,3.7777777777777777,3.0,2.5,3.5,Confidence
41,Yes,IT / Tech,Software Engineer,1–3 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",A few times a week,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,"Code Review, Function or Code snippet optimization, Draft replies to client queries or emails.","I use it to improve me work quality and efficiency and do not blindly follow it, thus, I can confidently say that I use Gen AI only to deliver better solutions.",3.0,2.0,3.0,4.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,India,5.0,3.7777777777777777,3.0,2.5,3.5,Competence
42,Yes,Manufacturing industry ,Process engineer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",Daily,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,"AI is used in daily working life to prepare task manuals, confirm engineering data for simulation, and support with basic engineering package data like CAS numbers, molecular structure, and micro-level details.","Using Gen AI for work-related tasks makes me feel more confident and efficient. It supports me in handling complex data, reduces repetitive work, and helps ensure accuracy in simulations and documentation. It is  a valuable tool that enhances my productivity without replacing critical engineering judgment.",5.0,5.0,5.0,4.0,4.0,5.0,5.0,18-25,Female,Bachelor’s degree,India,5.0,3.6666666666666665,5.0,5.0,5.0,Confidence
42,Yes,Manufacturing industry ,Process engineer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",Daily,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,"AI is used in daily working life to prepare task manuals, confirm engineering data for simulation, and support with basic engineering package data like CAS numbers, molecular structure, and micro-level details.","Using Gen AI for work-related tasks makes me feel more confident and efficient. It supports me in handling complex data, reduces repetitive work, and helps ensure accuracy in simulations and documentation. It is  a valuable tool that enhances my productivity without replacing critical engineering judgment.",5.0,5.0,5.0,4.0,4.0,5.0,5.0,18-25,Female,Bachelor’s degree,India,5.0,3.6666666666666665,5.0,5.0,5.0,Competence
43,Yes,IT / Tech,Associate Consultant,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,"Generating SQL queries, Process of setting up internal environment, To upskill",Not very good,2.0,4.0,4.0,4.0,4.0,2.0,3.0,18-25,Female,Bachelor’s degree,India,2.0,4.222222222222222,3.0,3.0,2.6666666666666665,Discomfort
43,Yes,IT / Tech,Associate Consultant,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,"Generating SQL queries, Process of setting up internal environment, To upskill",Not very good,2.0,4.0,4.0,4.0,4.0,2.0,3.0,18-25,Female,Bachelor’s degree,India,2.0,4.222222222222222,3.0,3.0,2.6666666666666665,Neutral
