Timestamp,Are currently employed?,What industry do you work in?,What is your current role or job title?,How many years of professional experience do you have?,Are there any Gen AI tools approved by your organization? ,"Do you use any generative AI tools for professional tasks? (e.g., ChatGPT, Copilot, Google Gemini, Claude)",Which Gen AI tool do you use?,How frequently do you use GenAI tools in your professional tasks?,Gen AI tools are very important for my professional tasks,Integrate Gen AI with other technologies related to it.,Learn to use unfamiliar Gen AI tools.,Use Gen AI for simple tasks.,Use Gen AI for complex tasks.,Become skillful using Gen AI.,Find support for problems that are beyond my abilities to solve using Gen AI.,Show people around me how to use it.,I am a better worker with the use of Gen AI.,I feel personally connected to the Gen AI tools I use in my work.,Please describe two or three work-related tasks you used Gen AI for.,How does it make you feel to report that you used Gen AI for work-related tasks?,I often find myself turning to GenAI as my first step in tackling professional problems.,"Considering my relationship with Gen AI, it has become something I often rely on.",I feel more confident making decisions at work when I use GenAI,I know how to use GenAI tools to improve the quality of my work related tasks.,My peers at work approve my use of Gen AI.,My manager at work supports my use of Gen AI.,People around me don't show disapproval regarding the use of Gen AI at work,What is your age group?,What is your gender?,What is your highest level of education completed?,What is your country of residence?
6/22/2025 13:03:55,Yes,IT / Tech,Software Developer,1–3 years,GitHub Copilot,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), GitHub Copilot",A few times a week,3,3,3,3,3,3,3,3,3,3,"Debugging, code review, code improvements",Unprofessional,3,3,3,3,3,3,3,18-25,Female,Bachelor’s degree,Germany
6/22/2025 13:08:41,Yes,IT / Tech,BI,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",Rarely,2,3,3,4,4,4,4,4,3,2,"debugging code errors, code optimization",less comfortable.,1,2,2,4,4,4,4,26-35,Male,Bachelor’s degree,Germany
6/22/2025 13:11:07,Yes,IT / Tech,Software engineer ,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1,3,4,2,4,4,3,3,4,3,"Writing code, Command Line prompts, Git commands and also brain storming ideas",Neutral,3,4,4,5,3,3,4,26-35,Male,Bachelor’s degree,Germany
6/22/2025 13:13:48,Yes,"IT / Tech, Education / Academia",Teaching Assistant ,1–3 years,Consensus,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic)",A few times a week,2,4,4,5,4,5,4,5,4,3,"I used Gen AI to build generative AI models, work on automation-related projects, and solve complex mathematical problems.",Using Gen AI has made my work more efficient. It’s exciting to embrace new technologies that enhance productivity.,4,4,4,4,3,3,3,26-35,Male,Master’s degree,Germany
6/22/2025 13:16:08,Yes,Education / Academia,,4–7 years,,Yes,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Daily,3,2,3,3,2,3,2,2,3,4,Refining letters coding and translations ,Good,3,3,3,2,2,2,3,26-35,Male,Master’s degree,Germany
6/22/2025 14:03:00,Yes,Education / Academia,Content Author,4–7 years,"It wasn't explicitly told, but I've seen colleagues using ChatGPT openly.",Yes,ChatGPT (OpenAI),A few times a week,2,4,5,5,4,3,3,5,4,2,"Help me write emails or messages I wasn't sure were clear enough, and paraphrase content I had developed to become more succinct.","Uncomfortable, since it makes me feel like I'm losing credit for my work.",4,5,4,2,3,3,4,26-35,Female,Master’s degree,Germany
6/22/2025 14:23:12,Yes,Manufacturing of 3d Printed equipment,Devloper and Assistant (but no official title),Less than 1 year,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a month,3,5,5,5,4,4,3,4,5,1,Help with writing Google App Scripts. Help with writing Google sheet functions,"I feel indifferent to it's use for work and see it as another tool, and my employer doesn't mind it's use. I try my best to avoid it for academic tasks however.",1,1,2,2,5,5,1,18-25,Male,Bachelor’s degree,Germany
6/22/2025 14:23:20,Yes,Education / Academia,Student Assistant,Less than 1 year,,Yes,ChatGPT (OpenAI),Daily,1,2,3,5,5,5,5,2,5,5,writing professional emails/ laying out an intial work structure to tackle a specific problem or task/ ,bad about myself/ i am trying to rely on it less but this is the reality of things ,5,5,5,5,,,,18-25,Female,Master’s degree,Germany
6/22/2025 14:39:46,Yes,IT / Tech,Software Engineer,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot, Consensus, All AI tools are allowed",Yes,"ChatGPT (OpenAI), GitHub Copilot, DeepSeek",A few times a week,3,5,5,5,5,5,5,5,4,1,"Writing emails, automatic code and developer comments completion, help with writing developer documentation","It feels neutral, although it sometimes makes me question my actual abilities",2,4,3,5,5,5,2,18-25,Male,Bachelor’s degree,Germany
6/22/2025 14:47:59,Yes,"IT / Tech, Education / Academia",Student assistant,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3,5,5,5,5,5,5,5,2,3,1. Correcting homework and some questions are open-ended. Sometimes the answers are very ambiguous so I would ask Chat GPT if it’s correct. 2. Programming and the package imports or dependencies are causing issues so I would solve it using Gen AI,I don’t mind because I know I do the majority of the work myself. I use Gen AI like I would use Google or YouTube tutorials; as a supplementary support and not as the source of all my thinking. ,1,4,3,5,4,4,5,18-25,Female,Bachelor’s degree,Germany
6/22/2025 14:54:38,Yes,IT / Tech,AI Engineer ,1–3 years,Google Gemini (Formerly Bard),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",Daily,4,4,2,3,5,2,5,5,5,5,"Solve hard bugs and write code, understand some concepts and brainstorm for ideas and recent tech used. ","I feel confident in accomplishing tasks and relieved that I can find solutions and support through AI tools. However, at the same time, I feel like I’m not fully using my own thinking when it comes to calculations and complex problem analysis. This makes me feel like I’m relying on AI more than on myself, and I worry that I’m losing trust in my own ability to solve problems independently.",4,4,4,5,5,5,2,36-45,Female,Master’s degree,Germany
6/22/2025 15:37:51,Yes,Education / Academia,Lecturer ,8–15 years,It’s not formally approved yet,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a week,2,3,3,4,5,3,4,2,4,4,"Quizes and discussion tasks, besides somtimes simplifications of some terminologies ","I have to reflect the use if AI ethically that i am not depending on it alone, where i have to make sure about the resources because not all of thrm are mostly correct.",5,4,4,4,4,2,4,26-35,Female,Doctorate (PhD or equivalent),Germany
6/22/2025 17:07:25,Yes,Creative / Media,Freelance translator,4–7 years,Quillbot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a month,3,2,5,5,3,4,4,4,4,1,"- Full translation of simple scripts.
- Paraphrasing of content.
- Checking fluency of written content.",Ok as long as I proofread and make sure that the AI generated content is up to par.,4,4,3,4,5,4,3,26-35,Female,Bachelor’s degree,Germany
6/22/2025 21:54:11,Yes,Healthcare,Doctor,4–7 years,,Yes,ChatGPT (OpenAI),A few times a month,3,1,2,4,4,2,3,3,5,2,"Organising my schedule, preparing my paperwork and presentations",I feel ok,2,3,2,3,2,2,2,26-35,Female,Master’s degree,Germany
6/22/2025 22:39:24,Yes,Education / Academia,PhD student,8–15 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,3,3,2,3,3,2,3,3,3,3,I use it basically as an alternative to Google search it made it more effective to find the right resource more easily,Normal,5,5,4,3,3,3,3,26-35,Female,Master’s degree,Germany
6/22/2025 22:56:14,Yes,Education / Academia,Research assistant ,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,2,3,3,5,5,3,3,4,4,4,"Email writing 
Scientific Research questions ",Its okey ,4,4,3,5,3,1,4,26-35,Male,Master’s degree,Germany
6/23/2025 7:05:50,Yes,Education / Academia,Dr.,8–15 years,"Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot",Daily,4,4,4,4,5,4,4,5,5,4,.,.,4,4,4,5,5,2,5,36-45,Female,Doctorate (PhD or equivalent),Germany
6/23/2025 9:36:38,Yes,IT / Tech,Data Scientist ,Less than 1 year,"Claude (Anthropic), GitHub Copilot",Yes,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",Daily,2,3,5,2,5,4,5,3,4,4,"Programming tasks, analysis",Not good,5,4,4,4,4,2,3,26-35,Female,Bachelor’s degree,Germany
6/21/2025 15:37:02,Yes,Government / Public sector,Executive ,Less than 1 year,"ChatGPT (OpenAI), Microsoft Copilot",Yes,ChatGPT (OpenAI),A few times a month,3,3,4,2,5,4,5,5,3,2,"Draft professional mail, preparing presentations ",I feel more productive as it becomes a time saving tool while doing work related tasks,3,2,3,5,5,4,5,18-25,Female,Bachelor’s degree,India
6/21/2025 15:41:50,Yes,Education / Academia,Teacher ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Rarely,,3,2,4,3,3,2,1,5,4,Don’t know ,Good ,2,4,4,4,4,4,4,18-25,Female,Bachelor’s degree,India
6/21/2025 15:53:33,Yes,IT / Tech,Software developer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Daily,1,5,5,3,5,5,3,,4,4,"Coding 
Testing ",Na,,,,,,,,18-25,Male,Bachelor’s degree,India
6/21/2025 17:09:47,Yes,"IT / Tech, ",Sr. Quality engg,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Claude (Anthropic)",Daily,5,5,5,1,5,5,5,5,5,5,Making apps using AI for work,Yes,5,5,5,5,5,5,5,26-35,Female,Bachelor’s degree,India
6/21/2025 17:10:49,Yes,IT / Tech,Software engineer ,Less than 1 year,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",A few times a month,2,2,4,1,1,3,1,2,4,4,Rearly use for the information that I need in my work about my work task,It's good gen ai really helpful in work related tasks,2,4,4,4,4,4,4,18-25,Female,Bachelor’s degree,India
6/21/2025 17:54:40,Yes,IT / Tech,Senior exec,1–3 years,Nope,Yes,ChatGPT (OpenAI),A few times a week,3,3,4,5,3,4,5,4,4,5,Basic Google questions ,Happy for the help ,3,4,5,3,4,5,3,26-35,Male,Bachelor’s degree,India
6/21/2025 19:14:06,Yes,Education / Academia,Assistant Professor,8–15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,1,3,5,1,5,4,4,4,4,4,"Creating case Studies, higher order thinking based assignments and creating presentations ",Technologies are bound to make work easier and makes me more productive hence I feel completely relax to report the same,2,2,2,5,4,5,5,26-35,Female,Master’s degree,India
6/21/2025 20:26:18,Yes,IT / Tech,SRE/DEVOPS,1–3 years,Microsoft Copilot,Yes,Microsoft Copilot,A few times a week,4,5,5,5,5,5,5,5,5,5,"Coding, shell scripting, Email",Cool,4,4,5,5,3,4,5,18-25,Male,Bachelor’s degree,India
6/21/2025 20:38:06,Yes,Creative / Media,Jewellery Desinger,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a week,3,3,3,4,2,3,3,3,3,3,"1.Jewelry Design Ideas:
Used Gen AI to generate creative concepts, collection names, and mood boards for jewelry projects.
2.Market Research:
Used AI to gather insights on trends, brands, and competitors for better design alignment.","It feels empowering to use Gen AI it helped me brianstrom faster, visualize design direction clearly, and explore more variations than i colud manually in the same time ",3,3,2,3,3,3,3,18-25,Female,Bachelor’s degree,India
6/22/2025 9:01:35,Yes,IT / Tech,Software Developer ,Less than 1 year,No,Yes,ChatGPT (OpenAI),Rarely,4,3,3,3,,4,4,4,4,2,Get some clarification on business logic,Nice,2,1,2,4,2,1,2,18-25,Male,Bachelor’s degree,India
6/22/2025 9:05:45,Yes,Education / Academia,Assistant Professor ,24,"Not approved,but I often used GPT and Gemini ",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,4,4,4,1,5,3,4,2,3,3,"For learning excel formulas, for solving complicated numericals",Knowledgeable and confident,3,3,3,3,3,3,3,46-55,Female,Master’s degree,India
6/22/2025 9:32:30,Yes,IT / Tech,Machine Learning Developer,1–3 years,"ChatGPT (OpenAI), Microsoft Copilot",Yes,Microsoft Copilot,Never,3,4,4,2,4,4,3,4,4,3,.,".

",3,3,2,3,3,2,3,18-25,Female,Bachelor’s degree,India
6/22/2025 9:40:40,Yes,IT / Tech,Salesforce Developer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Rarely,2,3,3,2,5,3,5,3,3,5,"In writing complex logic, For solving errors ",Not great ,4,3,3,4,4,3,4,18-25,Female,Bachelor’s degree,India
6/22/2025 9:47:09,Yes,IT / Tech,Software Engineer,1–3 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Claude (Anthropic), GitHub Copilot",A few times a week,1,4,5,4,4,4,4,4,4,3,"Code Review, Function or Code snippet optimization, Draft replies to client queries or emails.","I use it to improve me work quality and efficiency and do not blindly follow it, thus, I can confidently say that I use Gen AI only to deliver better solutions.",3,2,3,4,4,4,4,18-25,Male,Bachelor’s degree,India
6/22/2025 9:58:07,Yes,Manufacturing industry ,Process engineer ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",Daily,1,2,4,4,4,4,4,5,5,5,"AI is used in daily working life to prepare task manuals, confirm engineering data for simulation, and support with basic engineering package data like CAS numbers, molecular structure, and micro-level details.","Using Gen AI for work-related tasks makes me feel more confident and efficient. It supports me in handling complex data, reduces repetitive work, and helps ensure accuracy in simulations and documentation. It is  a valuable tool that enhances my productivity without replacing critical engineering judgment.",5,5,5,4,4,5,5,18-25,Female,Bachelor’s degree,India
6/22/2025 10:26:49,Yes,IT / Tech,Associate Consultant,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,3,4,5,4,5,5,4,5,3,3,"Generating SQL queries, Process of setting up internal environment, To upskill",Not very good,2,4,4,4,4,2,3,18-25,Female,Bachelor’s degree,India
6/22/2025 10:37:46,Yes,Creative / Media,Social media marketer,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, Midjourney, GitHub Copilot",Daily,5,1,5,5,5,5,5,4,5,4,"- To make creatives
- To do automation 
- To search


",It make me feel efficient and up-to-date.,3,3,5,4,4,4,5,26-35,Female,Bachelor’s degree,India
6/22/2025 10:42:17,Yes,IT / Tech,Data Engineer ,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,"Microsoft Copilot, GitHub Copilot",A few times a week,3,4,4,5,4,5,4,5,5,4,"I’ve used Gen AI to:

Write and optimize SQL/Spark queries for data analysis and transformation.

Draft documentation and technical summaries for pipelines and data workflows.

Troubleshoot code and debug errors by exploring possible fixes and best practices.","I feel confident using Gen AI for work—it boosts my productivity and helps me solve problems faster, as long as I validate the output.",3,4,5,5,5,5,5,18-25,Male,Bachelor’s degree,India
6/22/2025 10:47:50,Yes,"IT / Tech, Healthcare",Senior Software Engineer,1–3 years,,Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",A few times a week,4,4,4,4,4,4,4,4,4,4,"I used Gen AI to assist in:

Generating boilerplate code for React components, Redux stores, API service layers, and unit tests.
Refactoring large legacy JavaScript files into modular, readable, and optimized ES6+ code.
Ensuring code followed best practices like DRY (Don't Repeat Yourself) and SOLID principles.","It feels good to:

Leverage cutting-edge tools to work smarter, not harder.
Save time on repetitive or complex tasks, allowing more focus on creative problem-solving and high-impact work.
Stay ahead in a fast-evolving tech landscape by embracing AI as a collaborative assistant, not a replacement.",4,3,4,4,4,4,4,18-25,Male,Bachelor’s degree,India
6/22/2025 11:27:55,Yes,Education / Academia,Teacher ,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot",Daily,5,5,5,5,5,5,5,5,5,5,"1. Creating weekly planning schedule 
2. Creating extra complex or simple tests using the PDFs
3. Creating simple yet descriptive powerpoint presentations for teaching purpose ",It's more easy to create/ plan/ generate/ and many more things to do using ai.,5,5,5,5,5,5,5,26-35,Male,Master’s degree,India
6/22/2025 13:30:20,Yes,IT / Tech,Software Engineer ,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Microsoft Copilot, GitHub Copilot",Daily,4,3,3,1,5,4,4,4,4,4,"Drafting professional emails and client communications more quickly.
"," I feel efficient and empowered. Using Gen AI helps me save time and improves the quality of my work. However, sometimes I worry about whether others might think I'm relying on it too much or not using my own skills.
",3,4,3,3,4,4,4,18-25,Male,Bachelor’s degree,India
6/22/2025 13:33:40,Yes,"IT / Tech, Education / Academia",PhD scholar AI/ML,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a week,1,3,3,3,4,4,3,4,3,3,"New idea,writing code,brainstorm ",Great ,3,3,3,3,3,3,2,26-35,Female,Doctorate (PhD or equivalent),India
6/22/2025 16:36:19,Yes,IT / Tech,Associate,1–3 years,"Microsoft Copilot, GitHub Copilot",Yes,Microsoft Copilot,A few times a week,1,4,4,4,5,4,5,4,5,5,"Writing emails, complex scripts etc",Its great and supportive,4,3,5,5,5,5,4,18-25,Male,Bachelor’s degree,India
6/22/2025 18:46:04,Yes,IT / Tech,Software Engineer,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3,2,3,4,3,1,3,3,3,3,"Search of any new technologies,",Much faster work can do,3,3,3,3,2,2,2,26-35,Male,Bachelor’s degree,India
6/23/2025 5:37:55,Yes,Creative / Media,Senior designer ,1–3 years,"ChatGPT (OpenAI), Midjourney",Yes,"ChatGPT (OpenAI), Midjourney",A few times a month,3,2,2,4,4,4,4,4,2,2,NA,NA,4,3,3,3,4,4,3,18-25,Female,Bachelor’s degree,India
6/23/2025 5:41:53,Yes,IT / Tech,Software Engineer ,1–3 years,,Yes,ChatGPT (OpenAI),A few times a month,3,4,5,5,4,4,4,4,4,4,Basic tasks which are easy to do but boring to type,Good as the labour work was done by AI,3,3,3,4,4,5,4,18-25,Male,Bachelor’s degree,India
6/23/2025 14:21:07,Yes,Education / Academia,Teacher,8–15 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Rarely,1,2,2,3,3,3,2,2,1,1,Its easy,Nice,4,1,2,2,1,1,2,36-45,Male,Bachelor’s degree,India
6/22/2025 13:46:55,Yes,IT / Tech,Technical Consultant ,Less than 1 year,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Microsoft Copilot",Daily,2,4,3,2,5,3,3,4,4,3,For getting more information about technical stuff ,Good,2,2,2,2,2,3,2,18-25,Female,Bachelor’s degree,Ireland {Republic}
6/22/2025 13:59:49,Yes,Oil & Gas,And. Drilling Engineer,More than 15 years,,Yes,ChatGPT (OpenAI),Rarely,4,1,3,5,3,3,4,,3,3,Emails modification mainly,Rarely used AI for work related tasks.,3,2,3,3,1,1,1,36-45,Male,Bachelor’s degree,Qatar
6/22/2025 15:57:03,Yes,IT / Tech,Help desk ,1–3 years,ChatGPT (OpenAI),Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Midjourney",A few times a week,4,3,4,2,4,4,5,5,5,5,Sheets. Letters. Troubleshooting ,My organization encourages using aid of ai,3,4,4,5,5,5,5,26-35,Male,Master’s degree,Qatar
6/22/2025 16:13:05,Yes,IT / Tech,,8–15 years,Copilot ,Yes,ChatGPT (OpenAI),A few times a week,3,3,3,5,1,3,3,2,1,1,Search in doc library ,Normal,3,1,1,3,5,5,5,36-45,Prefer not to say,Master’s degree,Qatar
6/22/2025 18:02:52,Yes,IT / Tech,Monitoring & Evaluation Officer,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3,4,3,2,4,4,5,3,3,4,"Generate content in English, develop monitoring & evaluation plans, and write case studies from our context in humanitarian job.",A little bit shameful ,4,3,2,4,2,1,4,26-35,Female,Bachelor’s degree,Qatar
6/22/2025 18:51:35,Yes,IT / Tech,Oracle EBS financial consultant,8–15 years,No,Yes,Microsoft Copilot,A few times a week,4,3,3,3,3,3,3,5,2,2,Some outlook changes i did for my email,Its ok for me no problem to report that if it happened,5,4,5,5,1,3,5,36-45,Female,Bachelor’s degree,Qatar
6/22/2025 20:04:37,Yes,Finance / Banking,IT Support Engineer ,4–7 years,"ChatGPT (OpenAI), Microsoft Copilot, GitHub Copilot",Yes,ChatGPT (OpenAI),A few times a week,2,2,2,1,2,3,2,2,1,1,Professional and formal Email writing ,"Like cheating, because it will look like i didn’t do the work myself. ",1,1,1,2,2,1,1,26-35,Female,Bachelor’s degree,Qatar
6/22/2025 22:32:34,Yes,IT / Tech,It Consultant ,More than 15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),Daily,1,2,2,5,3,2,3,4,2,2,Email trubshooting knowledge ,Good,5,2,3,2,4,3,5,46-55,Male,Master’s degree,Qatar
6/23/2025 0:14:21,Yes,Education / Academia,Teacer,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,3,3,4,2,4,3,4,3,3,3,Search about information & how to write perfect emails ,Normally ,3,3,4,4,4,4,4,36-45,Female,Bachelor’s degree,Qatar
6/22/2025 13:07:17,Yes,Government / Public sector,BI consultant ,8–15 years,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Claude (Anthropic)",A few times a week,2,3,3,3,5,3,5,4,5,3,"Code correction
Demonstrate and breakdown ideas",I am ok with that,3,3,3,3,2,4,3,36-45,Male,Master’s degree,Saudi Arabia
6/22/2025 13:09:00,Yes,IT / Tech,Business developer ,4–7 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,ChatGPT (OpenAI),A few times a month,2,3,3,1,3,5,3,5,3,4,"Data analysis 
Goals breakdown  ",Confidante ,3,3,3,5,3,4,5,26-35,Male,Bachelor’s degree,Saudi Arabia
6/22/2025 13:25:04,Yes,Consulting,Quality Assurance Ofiicer,8–15 years,"No, up to now. I'm using it personally",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",A few times a month,2,3,5,4,4,3,2,5,5,5,"Audit Finfing Report
Strategic Planning","Creative, Initiative",3,3,4,4,3,3,4,36-45,Male,Bachelor’s degree,Saudi Arabia
